Frase,Sentimento
Eu te amo tanto!,felicidade
A vida é bela!,felicidade
Eu te amo tanto!,felicidade
A alegria está em meu coração!,felicidade
Estou muito feliz!,felicidade
Estou radiante de alegria!,felicidade
A vida é incrível!,felicidade
Estou grato por tudo!,felicidade
Estou radiante de felicidade!,felicidade
Não há nada melhor do que isso!,felicidade
Eu te amo tanto!,felicidade
Estou radiante de alegria!,felicidade
Estou me sentindo ótimo!,felicidade
Que sorte a minha!,felicidade
Não há nada melhor do que isso!,felicidade
Estou grato por tudo!,felicidade
Estou radiante de felicidade!,felicidade
Estou muito feliz!,felicidade
Hoje é um dia perfeito!,felicidade
Que sorte a minha!,felicidade
Estou super animado!,felicidade
Gosto da minha avó,felicidade
Gosto da minha avó,felicidade
A vida é cheia de surpresas boas!,felicidade
Eu não poderia estar mais feliz!,felicidade
A alegria está em meu coração!,felicidade
Gosto da minha avó,felicidade
Estou muito animado para o futuro!,felicidade
Não há nada melhor do que isso!,felicidade
Estou muito feliz!,felicidade
Estou super animado!,felicidade
A vida é incrível!,felicidade
Que notícia maravilhosa!,felicidade
Não há nada melhor do que isso!,felicidade
Estou vivendo um sonho!,felicidade
Estou no topo do mundo!,felicidade
A vida é cheia de surpresas boas!,felicidade
Estou grato por tudo!,felicidade
Estou cheio de esperança!,felicidade
Hoje é um dia perfeito!,felicidade
Que alegria estar aqui!,felicidade
Que alegria estar aqui!,felicidade
Estou radiante de felicidade!,felicidade
A vida é cheia de surpresas boas!,felicidade
Estou feliz por estar aqui!,felicidade
Eu te amo tanto!,felicidade
amo você!,felicidade
Estou muito contente com o resultado!,felicidade
Estou muito contente com o resultado!,felicidade
Estou em êxtase!,felicidade
Estou radiante de felicidade!,felicidade
Estou grato por tudo!,felicidade
Hoje é um dia perfeito!,felicidade
Eu não poderia estar mais feliz!,felicidade
Estou em êxtase!,felicidade
Que sorte a minha!,felicidade
Que notícia maravilhosa!,felicidade
Que notícia maravilhosa!,felicidade
Estou tão feliz hoje!,felicidade
Estou super animado!,felicidade
Estou grato por tudo!,felicidade
Gosto da minha avó,felicidade
Estou radiante de felicidade!,felicidade
Estou cheio de esperança!,felicidade
Estou me sentindo ótimo!,felicidade
Estou radiante de felicidade!,felicidade
Eu não poderia estar mais feliz!,felicidade
Estou no topo do mundo!,felicidade
Eu não poderia estar mais feliz!,felicidade
Estou muito feliz!,felicidade
Estou vivendo um sonho!,felicidade
Estou sorrindo de orelha a orelha!,felicidade
A vida é cheia de surpresas boas!,felicidade
Estou sorrindo de orelha a orelha!,felicidade
A alegria está em meu coração!,felicidade
Estou radiante de alegria!,felicidade
Estou feliz por estar aqui!,felicidade
Gosto da minha avó,felicidade
Estou extasiado de felicidade!,felicidade
Estou extasiado de felicidade!,felicidade
Estou em êxtase!,felicidade
Estou muito contente com o resultado!,felicidade
Estou me sentindo ótimo!,felicidade
Estou vivendo um sonho!,felicidade
Que alegria estar aqui!,felicidade
Estou grato por tudo!,felicidade
Estou em paz e feliz!,felicidade
Que dia maravilhoso!,felicidade
Estou vivendo um sonho!,felicidade
Eu não poderia estar mais feliz!,felicidade
Não há nada melhor do que isso!,felicidade
Estou me sentindo ótimo!,felicidade
A vida é cheia de surpresas boas!,felicidade
Que notícia maravilhosa!,felicidade
Estou vivendo um sonho!,felicidade
Estou me sentindo ótimo!,felicidade
Estou muito contente com o resultado!,felicidade
Estou vivendo um sonho!,felicidade
Estou super animado!,felicidade
Estou em êxtase!,felicidade
Estou sorrindo de orelha a orelha!,felicidade
Hoje é um dia perfeito!,felicidade
Estou sorrindo de orelha a orelha!,felicidade
Estou em paz e feliz!,felicidade
Hoje é um dia para lembrar!,felicidade
Hoje é um dia perfeito!,felicidade
A vida é incrível!,felicidade
Eu te amo tanto!,felicidade
Eu te amo tanto!,felicidade
Estou muito animado para o futuro!,felicidade
Estou muito animado para o futuro!,felicidade
A vida é incrível!,felicidade
Eu te amo tanto!,felicidade
A alegria está em meu coração!,felicidade
Estou me sentindo ótimo!,felicidade
Estou extasiado de felicidade!,felicidade
Que notícia maravilhosa!,felicidade
Que alegria estar aqui!,felicidade
A vida é bela!,felicidade
Estou muito animado para o futuro!,felicidade
Estou super animado!,felicidade
Que notícia maravilhosa!,felicidade
Estou radiante de alegria!,felicidade
A vida é incrível!,felicidade
Eu não poderia estar mais feliz!,felicidade
A alegria está em meu coração!,felicidade
Que dia maravilhoso!,felicidade
Estou muito animado para o futuro!,felicidade
Estou tão feliz hoje!,felicidade
A alegria está em meu coração!,felicidade
Estou em paz e feliz!,felicidade
Eu te amo tanto!,felicidade
Hoje é um dia para lembrar!,felicidade
Estou vivendo um sonho!,felicidade
Estou extasiado de felicidade!,felicidade
Gosto da minha avó,felicidade
Hoje é um dia para lembrar!,felicidade
Estou vivendo um sonho!,felicidade
Hoje é um dia para lembrar!,felicidade
Estou em paz e feliz!,felicidade
Estou grato por tudo!,felicidade
Estou no topo do mundo!,felicidade
A vida é bela!,felicidade
Estou no topo do mundo!,felicidade
Estou no topo do mundo!,felicidade
Estou me sentindo ótimo!,felicidade
Estou radiante de alegria!,felicidade
Estou tão feliz hoje!,felicidade
Estou em êxtase!,felicidade
Eu te amo tanto!,felicidade
Que dia maravilhoso!,felicidade
A tristeza parece não ter fim.,tristeza
Estou deprimido e sem esperança,tristeza
Estou desesperado,tristeza
Estou tão desanimado,tristeza
Estou tão desanimado,tristeza
Estou tão triste agora,tristeza
Estou emocionalmente exausto,tristeza
Estou desesperado,tristeza
Não consigo encontrar alegria,tristeza
Estou tão solitário,tristeza
Estou tão desanimado,tristeza
As lágrimas não param de cair.,tristeza
Estou tão triste agora,tristeza
A dor emocional é esmagadora.,tristeza
Estou afundando em tristeza,tristeza
Estou desesperado,tristeza
Estou deprimido e sem esperança,tristeza
A dor é insuportável,tristeza
Estou tão desanimado,tristeza
Não consigo encontrar alegria,tristeza
Sinto uma dor profunda no coração.,tristeza
Nada me faz feliz,tristeza
Estou tão abatido,tristeza
Tudo está tão sombrio,tristeza
Não vejo uma saída,tristeza
A tristeza parece não ter fim.,tristeza
A vida está tão difícil agora.,tristeza
Não consigo encontrar alegria,tristeza
Estou tão solitário,tristeza
Estou emocionalmente exausto,tristeza
Nada me faz feliz,tristeza
Tudo está tão sombrio,tristeza
Estou desesperado,tristeza
Estou emocionalmente exausto,tristeza
Sinto sua falta,tristeza
Sinto uma dor profunda no coração.,tristeza
As lágrimas não param de cair.,tristeza
Não posso parar de chorar,tristeza
A vida parece tão difícil agora,tristeza
A tristeza me consome,tristeza
Sinto uma tristeza profunda.,tristeza
A tristeza parece não ter fim.,tristeza
Estou sentindo uma tristeza imensa.,tristeza
Estou vazio por dentro.,tristeza
Não vejo uma saída,tristeza
A dor é insuportável,tristeza
Sinto uma tristeza profunda.,tristeza
Não consigo encontrar alegria,tristeza
As lágrimas não param de cair.,tristeza
Tudo parece sem sentido,tristeza
Sinto sua falta,tristeza
Não posso parar de chorar,tristeza
A dor é insuportável,tristeza
Não vejo uma saída,tristeza
Não consigo encontrar alegria,tristeza
Estou deprimido e sem esperança,tristeza
Estou emocionalmente exausto,tristeza
Estou tão solitário,tristeza
Não vejo uma saída,tristeza
A vida está tão difícil agora.,tristeza
As lágrimas não param de cair.,tristeza
Sinto uma tristeza profunda.,tristeza
Meu coração está partido,tristeza
A tristeza me consome,tristeza
Estou sentindo uma tristeza imensa.,tristeza
Estou tão abatido,tristeza
Tudo está tão sombrio,tristeza
Estou desesperado,tristeza
Nada me faz feliz,tristeza
Meu coração está partido,tristeza
Tudo parece sem sentido,tristeza
Não vejo uma saída,tristeza
Não consigo encontrar conforto.,tristeza
Não posso parar de chorar,tristeza
Estou sentindo uma tristeza imensa.,tristeza
Tudo está tão sombrio,tristeza
Não posso parar de chorar,tristeza
Tudo parece sem sentido,tristeza
Não consigo encontrar conforto.,tristeza
Não consigo encontrar alegria,tristeza
Estou tão solitário,tristeza
Nada me faz feliz,tristeza
Nada me faz feliz,tristeza
Meu coração está partido,tristeza
Estou sentindo uma tristeza imensa.,tristeza
A tristeza me consome,tristeza
A tristeza parece não ter fim.,tristeza
A dor emocional é esmagadora.,tristeza
Estou afundando em tristeza,tristeza
Não consigo encontrar conforto.,tristeza
Estou perdido,tristeza
Estou tão desanimado,tristeza
A vida parece tão difícil agora,tristeza
A tristeza me consome,tristeza
Sinto uma dor profunda no coração.,tristeza
Tudo está tão sombrio,tristeza
As lágrimas não param de cair.,tristeza
Meu coração está partido,tristeza
Não consigo encontrar alegria,tristeza
Estou vazio por dentro.,tristeza
Não posso parar de chorar,tristeza
Estou sentindo uma tristeza imensa.,tristeza
Não consigo encontrar alegria,tristeza
Estou deprimido e sem esperança,tristeza
Tudo parece sem sentido,tristeza
Estou perdido,tristeza
Sinto sua falta,tristeza
Estou perdido,tristeza
As lágrimas não param de cair.,tristeza
A tristeza parece não ter fim.,tristeza
Estou sentindo uma tristeza imensa.,tristeza
Estou tão abatido,tristeza
Estou vazio por dentro.,tristeza
Não consigo encontrar alegria,tristeza
Tudo parece sem sentido,tristeza
Nada me faz feliz,tristeza
Estou desesperado,tristeza
Estou afundando em tristeza,tristeza
Sinto uma dor profunda no coração.,tristeza
Estou deprimido e sem esperança,tristeza
Estou sentindo uma tristeza imensa.,tristeza
Sinto uma tristeza profunda.,tristeza
Tudo está tão sombrio,tristeza
Meu coração está partido,tristeza
Sinto sua falta,tristeza
Estou tão solitário,tristeza
Nada me faz feliz,tristeza
Estou tão solitário,tristeza
Sinto uma tristeza profunda.,tristeza
Estou tão abatido,tristeza
A dor é insuportável,tristeza
Estou vazio por dentro.,tristeza
Estou tão desanimado,tristeza
Estou sentindo uma tristeza imensa.,tristeza
A tristeza me consome,tristeza
Tudo está tão sombrio,tristeza
A dor emocional é esmagadora.,tristeza
Sinto uma dor profunda no coração.,tristeza
Estou tão desanimado,tristeza
Não consigo encontrar conforto.,tristeza
Não consigo encontrar conforto.,tristeza
Não consigo encontrar conforto.,tristeza
Sinto sua falta,tristeza
Não consigo encontrar alegria,tristeza
Estou vazio por dentro.,tristeza
Não consigo encontrar conforto.,tristeza
Tudo parece sem sentido,tristeza
Estou perdido,tristeza
Não vejo uma saída,tristeza
Sinto uma tristeza profunda.,tristeza
Não aguento mais isso!,raiva
Isso é intolerável!,raiva
Estou tão irritado!,raiva
Estou cheio de fúria,raiva
Estou cheio de rancor,raiva
Estou exasperado com essa situação!,raiva
Isso é intolerável!,raiva
Isso é completamente absurdo!,raiva
Isso é completamente absurdo!,raiva
Não consigo acreditar no que aconteceu!,raiva
Sinto uma raiva intensa!,raiva
Estou explodindo de raiva,raiva
Estou tão frustrado!,raiva
Isso é uma injustiça!,raiva
Minha paciência se esgotou!,raiva
Estou furioso com essa injustiça!,raiva
Estou fora de mim de raiva,raiva
Sinto uma raiva intensa!,raiva
Estou indignado com isso!,raiva
Estou cheio de fúria,raiva
"Não quero saber de nada, eu te odeio!",raiva
Estou exasperado com essa situação!,raiva
Isso é inaceitável!,raiva
Não consigo controlar minha raiva!,raiva
Estou furioso com essa injustiça!,raiva
Não consigo acreditar no que aconteceu!,raiva
Estou furioso com essa injustiça!,raiva
Isso me deixa extremamente irritado!,raiva
Estou muito enraivecido,raiva
Não consigo acreditar no que aconteceu!,raiva
Isso é intolerável!,raiva
Não consigo acreditar no que aconteceu!,raiva
Estou exasperado com essa situação!,raiva
Estou tão irritado!,raiva
Não aguento mais isso!,raiva
Isso é inaceitável!,raiva
Sinto uma raiva intensa!,raiva
Estou tão frustrado!,raiva
Isso é intolerável!,raiva
Estou furioso com você,raiva
Isso é revoltante!,raiva
Estou extremamente irritado,raiva
Sinto uma raiva intensa!,raiva
Estou explodindo de raiva,raiva
Estou tão irritado!,raiva
Estou perdendo a paciência,raiva
Isso me deixa extremamente irritado!,raiva
Estou fora de mim de raiva,raiva
Estou cheio de raiva,raiva
Estou cheio de fúria,raiva
Estou indignado com isso!,raiva
Minha paciência se esgotou!,raiva
Estou exasperado com essa situação!,raiva
Estou explodindo de raiva,raiva
Estou fora de mim de raiva,raiva
Estou exasperado com essa situação!,raiva
Eu te odeio!,raiva
Não consigo acreditar no que aconteceu!,raiva
Estou extremamente irritado,raiva
Estou exasperado com essa situação!,raiva
Não aguento mais isso!,raiva
Estou cheio de rancor,raiva
Estou tão zangado!,raiva
Estou extremamente irritado,raiva
Estou muito enraivecido,raiva
Isso me deixa extremamente irritado!,raiva
Isso é intolerável!,raiva
Estou muito bravo com essa situação,raiva
Estou furioso com essa injustiça!,raiva
Isso é intolerável!,raiva
Estou fora de mim de raiva,raiva
Isso é uma injustiça!,raiva
Não consigo controlar minha raiva!,raiva
Estou exasperado com essa situação!,raiva
Estou perdendo a paciência,raiva
"Não quero saber de nada, eu te odeio!",raiva
Estou furioso com essa injustiça!,raiva
Estou exasperado com essa situação!,raiva
Estou furioso com você,raiva
Estou explodindo de raiva,raiva
Sinto uma raiva intensa!,raiva
Minha paciência se esgotou!,raiva
Estou cheio de fúria,raiva
Estou furioso com você,raiva
Estou cheio de raiva,raiva
Estou tão irritado!,raiva
Isso é revoltante!,raiva
Eu te odeio!,raiva
Estou cheio de fúria,raiva
Sinto uma raiva intensa!,raiva
Minha paciência se esgotou!,raiva
Estou tão frustrado!,raiva
Estou furioso com essa injustiça!,raiva
Não aguento mais isso!,raiva
Estou cheio de rancor,raiva
Estou perdendo a paciência,raiva
Sinto uma raiva intensa!,raiva
Isso é inaceitável!,raiva
Estou cheio de rancor,raiva
Não consigo acreditar no que aconteceu!,raiva
Não consigo controlar minha raiva!,raiva
Não consigo acreditar no que aconteceu!,raiva
Estou cheio de rancor,raiva
Estou furioso com essa injustiça!,raiva
Isso é inaceitável!,raiva
Estou tão frustrado!,raiva
Isso é intolerável!,raiva
Estou tão irritado!,raiva
Estou exasperado com essa situação!,raiva
Eu te odeio!,raiva
Estou cheio de raiva,raiva
Sinto uma raiva intensa!,raiva
Sinto uma raiva intensa!,raiva
Estou extremamente irritado,raiva
Estou furioso com essa injustiça!,raiva
Não consigo acreditar no que aconteceu!,raiva
Estou explodindo de raiva,raiva
Não consigo acreditar no que aconteceu!,raiva
Estou tão zangado!,raiva
Estou furioso com essa injustiça!,raiva
Estou furioso com você,raiva
Isso é completamente absurdo!,raiva
Não aguento mais isso!,raiva
Sinto uma raiva intensa!,raiva
Minha paciência se esgotou!,raiva
Estou irado com a situação!,raiva
Não consigo acreditar no que aconteceu!,raiva
"Não quero saber de nada, eu te odeio!",raiva
Eu te odeio!,raiva
Estou furioso com essa injustiça!,raiva
Minha paciência se esgotou!,raiva
Não consigo controlar minha raiva!,raiva
Estou explodindo de raiva,raiva
Estou perdendo a paciência,raiva
Eu te odeio!,raiva
Estou tão irritado!,raiva
Eu te odeio!,raiva
Estou irado com a situação!,raiva
Estou tão irritado!,raiva
Estou cheio de rancor,raiva
Estou tão frustrado!,raiva
Estou perdendo a paciência,raiva
Isso é inaceitável!,raiva
Isso é uma injustiça!,raiva
Estou tão irritado!,raiva
Isso é completamente absurdo!,raiva
"Não quero saber de nada, eu te odeio!",raiva
Estou muito enraivecido,raiva
Estou indignado com isso!,raiva
Isso é inaceitável!,raiva
